Path	Type	Full Address	Device Offset	Mode	Bit Offset	Bit Size	Enum	Description
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[19]	<class 'pyrogue._Variable.RemoteVariable'>	0x1004c	0x4c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[20]	<class 'pyrogue._Variable.RemoteVariable'>	0x10050	0x50	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[21]	<class 'pyrogue._Variable.RemoteVariable'>	0x10054	0x54	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[22]	<class 'pyrogue._Variable.RemoteVariable'>	0x10058	0x58	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[23]	<class 'pyrogue._Variable.RemoteVariable'>	0x1005c	0x5c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[24]	<class 'pyrogue._Variable.RemoteVariable'>	0x10060	0x60	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[25]	<class 'pyrogue._Variable.RemoteVariable'>	0x10064	0x64	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[26]	<class 'pyrogue._Variable.RemoteVariable'>	0x10068	0x68	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[27]	<class 'pyrogue._Variable.RemoteVariable'>	0x1006c	0x6c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[28]	<class 'pyrogue._Variable.RemoteVariable'>	0x10070	0x70	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[29]	<class 'pyrogue._Variable.RemoteVariable'>	0x10074	0x74	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[30]	<class 'pyrogue._Variable.RemoteVariable'>	0x10078	0x78	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[31]	<class 'pyrogue._Variable.RemoteVariable'>	0x1007c	0x7c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[32]	<class 'pyrogue._Variable.RemoteVariable'>	0x10080	0x80	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[33]	<class 'pyrogue._Variable.RemoteVariable'>	0x10084	0x84	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[34]	<class 'pyrogue._Variable.RemoteVariable'>	0x10088	0x88	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[35]	<class 'pyrogue._Variable.RemoteVariable'>	0x1008c	0x8c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[36]	<class 'pyrogue._Variable.RemoteVariable'>	0x10090	0x90	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[37]	<class 'pyrogue._Variable.RemoteVariable'>	0x10094	0x94	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[38]	<class 'pyrogue._Variable.RemoteVariable'>	0x10098	0x98	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[39]	<class 'pyrogue._Variable.RemoteVariable'>	0x1009c	0x9c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[40]	<class 'pyrogue._Variable.RemoteVariable'>	0x100a0	0xa0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[41]	<class 'pyrogue._Variable.RemoteVariable'>	0x100a4	0xa4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[42]	<class 'pyrogue._Variable.RemoteVariable'>	0x100a8	0xa8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[43]	<class 'pyrogue._Variable.RemoteVariable'>	0x100ac	0xac	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[44]	<class 'pyrogue._Variable.RemoteVariable'>	0x100b0	0xb0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[45]	<class 'pyrogue._Variable.RemoteVariable'>	0x100b4	0xb4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[46]	<class 'pyrogue._Variable.RemoteVariable'>	0x100b8	0xb8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[47]	<class 'pyrogue._Variable.RemoteVariable'>	0x100bc	0xbc	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[48]	<class 'pyrogue._Variable.RemoteVariable'>	0x100c0	0xc0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[49]	<class 'pyrogue._Variable.RemoteVariable'>	0x100c4	0xc4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[50]	<class 'pyrogue._Variable.RemoteVariable'>	0x100c8	0xc8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[51]	<class 'pyrogue._Variable.RemoteVariable'>	0x100cc	0xcc	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[52]	<class 'pyrogue._Variable.RemoteVariable'>	0x100d0	0xd0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[53]	<class 'pyrogue._Variable.RemoteVariable'>	0x100d4	0xd4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[54]	<class 'pyrogue._Variable.RemoteVariable'>	0x100d8	0xd8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[55]	<class 'pyrogue._Variable.RemoteVariable'>	0x100dc	0xdc	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[56]	<class 'pyrogue._Variable.RemoteVariable'>	0x100e0	0xe0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[57]	<class 'pyrogue._Variable.RemoteVariable'>	0x100e4	0xe4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[58]	<class 'pyrogue._Variable.RemoteVariable'>	0x100e8	0xe8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[59]	<class 'pyrogue._Variable.RemoteVariable'>	0x100ec	0xec	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[60]	<class 'pyrogue._Variable.RemoteVariable'>	0x100f0	0xf0	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[61]	<class 'pyrogue._Variable.RemoteVariable'>	0x100f4	0xf4	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[62]	<class 'pyrogue._Variable.RemoteVariable'>	0x100f8	0xf8	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[63]	<class 'pyrogue._Variable.RemoteVariable'>	0x100fc	0xfc	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[64]	<class 'pyrogue._Variable.RemoteVariable'>	0x10100	0x100	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[65]	<class 'pyrogue._Variable.RemoteVariable'>	0x10104	0x104	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[66]	<class 'pyrogue._Variable.RemoteVariable'>	0x10108	0x108	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[67]	<class 'pyrogue._Variable.RemoteVariable'>	0x1010c	0x10c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[68]	<class 'pyrogue._Variable.RemoteVariable'>	0x10110	0x110	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[69]	<class 'pyrogue._Variable.RemoteVariable'>	0x10114	0x114	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[70]	<class 'pyrogue._Variable.RemoteVariable'>	0x10118	0x118	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[71]	<class 'pyrogue._Variable.RemoteVariable'>	0x1011c	0x11c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[72]	<class 'pyrogue._Variable.RemoteVariable'>	0x10120	0x120	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[73]	<class 'pyrogue._Variable.RemoteVariable'>	0x10124	0x124	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[74]	<class 'pyrogue._Variable.RemoteVariable'>	0x10128	0x128	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.PcieConfigHdr[75]	<class 'pyrogue._Variable.RemoteVariable'>	0x1012c	0x12c	RO	[0]	[32]	None	PCIe Configuration Space Header
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.VendorId	<class 'pyrogue._Variable.RemoteVariable'>	0x10000	0x0	RO	[0]	[16]	None	Vendor ID
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.DeviceId	<class 'pyrogue._Variable.RemoteVariable'>	0x10000	0x0	RO	[16]	[16]	None	Device ID
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.SubVendorId	<class 'pyrogue._Variable.RemoteVariable'>	0x1002c	0x2c	RO	[0]	[16]	None	Subsystem Vendor ID
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.SubDeviceId	<class 'pyrogue._Variable.RemoteVariable'>	0x1002c	0x2c	RO	[16]	[16]	None	Subsystem Device ID
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.Command	<class 'pyrogue._Variable.RemoteVariable'>	0x10004	0x4	RO	[0]	[16]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.Status	<class 'pyrogue._Variable.RemoteVariable'>	0x10004	0x4	RO	[16]	[16]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.BusNumber	<class 'pyrogue._Variable.RemoteVariable'>	0x10010	0x10	RO	[20]	[4]	None	Bus Number of port for PCIe.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.DeviceNumber	<class 'pyrogue._Variable.RemoteVariable'>	0x10010	0x10	RO	[11]	[5]	None	Device number of port for PCIe.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.FunctionNumber	<class 'pyrogue._Variable.RemoteVariable'>	0x10010	0x10	RO	[8]	[3]	None	Function number of the port for PCIe. Hard-wired to 0.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.Gen2Capable	<class 'pyrogue._Variable.RemoteVariable'>	0x10130	0x130	RO	[0]	[1]	None	If set, underlying integrated block supports PCIe Gen2 speed.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.Gen3Capable	<class 'pyrogue._Variable.RemoteVariable'>	0x10130	0x130	RO	[3]	[1]	None	If set, underlying integrated block supports PCIe Gen3 speed.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.RootPortPresent	<class 'pyrogue._Variable.RemoteVariable'>	0x10130	0x130	RO	[1]	[1]	None	Indicates the underlying integrated block is a Root Port when this bit is set. If set, Root Port registers are present in this interface.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.UpConfigCapable	<class 'pyrogue._Variable.RemoteVariable'>	0x10130	0x130	RO	[2]	[1]	None	Indicates the underlying integrated block is upconfig capable when this bit is set.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.LinkRateGen2	<class 'pyrogue._Variable.RemoteVariable'>	0x10144	0x144	RO	[0]	[1]	None	0b = 2.5 GT/s (if bit[12] = 0), or 8.0GT/s (if bit[12] = 1), 1b = 5.0 GT/s
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.LinkRateGen3	<class 'pyrogue._Variable.RemoteVariable'>	0x10144	0x144	RO	[12]	[1]	None	Reports the current link rate. 0b = see bit[0]. 1b = 8.0 GT/s
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.LinkWidth16	<class 'pyrogue._Variable.RemoteVariable'>	0x10144	0x144	RO	[13]	[1]	None	Reports the current link width. 0b = See bit[2:1]. 1b = x16.
TimeToolDev.Hardware.AxiPcieCore.AxiPciePhy.LinkWidth	<class 'pyrogue._Variable.RemoteVariable'>	0x10144	0x144	RO	[1]	[2]	None	Reports the current link width. 00b = x1, 01b = x2, 10b = x4, 11b = x8.
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.FpgaVersion	<class 'pyrogue._Variable.RemoteVariable'>	0x20000	0x0	RO	[0]	[32]	None	FPGA Firmware Version Number
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.ScratchPad	<class 'pyrogue._Variable.RemoteVariable'>	0x20004	0x4	RW	[0]	[32]	None	Register to test reads and writes
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.UpTimeCnt	<class 'pyrogue._Variable.RemoteVariable'>	0x20008	0x8	RO	[0]	[32]	None	Number of seconds since last reset
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.FpgaReloadHalt	<class 'pyrogue._Variable.RemoteVariable'>	0x20100	0x100	RW	[0]	[1]	None	Used to halt automatic reloads via AxiVersion
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.FpgaReload	<class 'pyrogue._Command.RemoteCommand'>	0x20104	0x104	WO	[0]	[1]	None	Optional Reload the FPGA from the attached PROM
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.FpgaReloadAddress	<class 'pyrogue._Variable.RemoteVariable'>	0x20108	0x108	RW	[0]	[32]	None	Reload start address
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.UserReset	<class 'pyrogue._Variable.RemoteVariable'>	0x2010c	0x10c	RW	[0]	[1]	None	Optional User Reset
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.FdSerial	<class 'pyrogue._Variable.RemoteVariable'>	0x20300	0x300	RO	[0]	[64]	None	Board ID value read from DS2411 chip
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DeviceId	<class 'pyrogue._Variable.RemoteVariable'>	0x20500	0x500	RO	[0]	[32]	None	Device Identification  (configued by generic)
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.GitHash	<class 'pyrogue._Variable.RemoteVariable'>	0x20600	0x600	RO	[0]	[160]	None	GIT SHA-1 Hash
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DeviceDna	<class 'pyrogue._Variable.RemoteVariable'>	0x20700	0x700	RO	[0]	[128]	None	Xilinx Device DNA value burned into FPGA
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.BuildStamp	<class 'pyrogue._Variable.RemoteVariable'>	0x20800	0x800	RO	[0]	[2048]	None	Firmware Build String
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_SIZE_G	<class 'pyrogue._Variable.RemoteVariable'>	0x20400	0x400	RO	[0]	[32]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.Reserved	<class 'pyrogue._Variable.RemoteVariable'>	0x20404	0x404	RO	[0]	[32]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DRIVER_TYPE_ID_G	<class 'pyrogue._Variable.RemoteVariable'>	0x20408	0x408	RO	[0]	[32]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.XIL_DEVICE_G	<class 'pyrogue._Variable.RemoteVariable'>	0x2040c	0x40c	RO	[0]	[32]	{0: 'ULTRASCALE', 1: '7SERIES'}	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_CLK_FREQ_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20410	0x410	RO	[0]	[32]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.BOOT_PROM_G	<class 'pyrogue._Variable.RemoteVariable'>	0x20414	0x414	RO	[0]	[32]	{0: 'BPI', 1: 'SPIx8', 2: 'SPIx4'}	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TDATA_BYTES_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[24]	[8]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TDEST_BITS_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[20]	[4]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TUSER_BITS_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[16]	[4]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TID_BITS_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[12]	[4]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TKEEP_MODE_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[8]	[4]	{0: 'TKEEP_NORMAL_C', 1: 'TKEEP_COMP_C', 2: 'TKEEP_FIXED_C', 3: 'TKEEP_COUNT_C'}	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TUSER_MODE_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[4]	[4]	{0: 'TUSER_NORMAL_C', 1: 'TUSER_FIRST_LAST_C', 2: 'TUSER_LAST_C', 3: 'TUSER_NONE_C'}	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.DMA_AXIS_CONFIG_G_TSTRB_EN_C	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[1]	[1]	{False: 'False', True: 'True'}	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.AppReset	<class 'pyrogue._Variable.RemoteVariable'>	0x20418	0x418	RO	[0]	[1]	{False: 'False', True: 'True'}	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.AXI_PCIE_CONFIG_C_ADDR_WIDTH_C	<class 'pyrogue._Variable.RemoteVariable'>	0x2041c	0x41c	RO	[24]	[8]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.AXI_PCIE_CONFIG_C_DATA_BYTES_C	<class 'pyrogue._Variable.RemoteVariable'>	0x2041c	0x41c	RO	[16]	[8]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.AXI_PCIE_CONFIG_C_ID_BITS_C	<class 'pyrogue._Variable.RemoteVariable'>	0x2041c	0x41c	RO	[8]	[8]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.AXI_PCIE_CONFIG_C_LEN_BITS_C	<class 'pyrogue._Variable.RemoteVariable'>	0x2041c	0x41c	RO	[0]	[8]	None	
TimeToolDev.Hardware.AxiPcieCore.AxiVersion.AppClkFreq	<class 'pyrogue._Variable.RemoteVariable'>	0x20420	0x420	RO	[0]	[32]	None	Application Clock Frequency
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.CntRst	<class 'pyrogue._Variable.RemoteVariable'>	0x60000	0x0	WO	[0]	[32]	None	Counter Reset
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.FrameRate[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x60010	0x10	RO	[0]	[32]	None	Current Frame Rate
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.FrameRateMax[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x60014	0x14	RO	[0]	[32]	None	Max Frame Rate
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.FrameRateMin[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x60018	0x18	RO	[0]	[32]	None	Min Frame Rate
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.Bandwidth[0]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x6001c	0x1c	RO	[0]	[64]	None	Current Bandwidth
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.BandwidthMax[0]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x60024	0x24	RO	[0]	[64]	None	Max Bandwidth
TimeToolDev.Hardware.AxiPcieCore.DmaIbAxisMon.BandwidthMin[0]Raw	<class 'pyrogue._Variable.RemoteVariable'>	0x6002c	0x2c	RO	[0]	[64]	None	Min Bandwidth
TimeToolDev.Hardware.AxiPcieCore.DmaObAxisMon.CntRst	<class 'pyrogue._Variable.RemoteVariable'>	0x70000	0x0	WO	[0]	[32]	None	Counter Reset
TimeToolDev.Hardware.AxiPcieCore.DmaObAxisMon.FrameRate[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x70010	0x10	RO	[0]	[32]	None	Current Frame Rate
TimeToolDev.Hardware.AxiPcieCore.DmaObAxisMon.FrameRateMax[0]	<class 'pyrogue._Variable.RemoteVariable'>	0x70014	0x14	RO	[0]	[32]	None	Max Frame Rate
